rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude
37,Marshmello,56400000,14696003229.0,Entertainment,Marshmello,436,United States,US,Music,233,11.0,15.0,112100000.0,28000.0,448400.0,336300.0,5400000.0,100000.0,2015,Apr,6,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
38,YRF,54600000,35302243691.0,Film & Animation,YRF,3707,India,IN,Music,28,15.0,16.0,512093000.0,128000.0,2000000.0,1500000.0,24600000.0,500000.0,2006,Jun,7,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
39,LooLoo Kids - Nursery Rhymes and Children's Songs,54000000,32312431239.0,Music,LooLoo Kids - Nursery Rhymes and Children's ï¿½,11,United States,US,Music,3800129,9.0,13.5,159.0,0.04,0.64,0.48,8.0,400000.0,2016,Nov,29,60.0,328239523.0,5.36,270663028.0,23.885942,-51.92528
40,Ed Sheeran,53500000,30367676736.0,Music,Ed Sheeran,383,United Kingdom,GB,Music,39,1.0,18.0,202720000.0,50700.0,810900.0,608200.0,9700000.0,100000.0,2006,Aug,8,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
41,Infobells - Hindi,53300000,30516172739.0,Education,Infobells - Hindi,577,India,IN,Education,37,16.0,4.0,815949000.0,204000.0,3300000.0,2400000.0,39200000.0,1600000.0,2014,Jun,6,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
42,Taylor Swift,52900000,29884657286.0,Music,Taylor Swift,216,United States,US,Music,40,13.0,19.0,528392000.0,132100.0,2100000.0,1600000.0,25400000.0,800000.0,2006,Sep,20,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
43,Ariana Grande,52700000,24004842608.0,Music,Ariana Grande,147,United States,US,Music,78,14.0,20.0,160216000.0,40100.0,640900.0,480600.0,7700000.0,100000.0,2007,Jan,22,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
44,BillionSurpriseToys  - Nursery Rhymes & Cartoons,52200000,9877365274.0,Education,BillionSurpriseToys  - Nursery Rhymes & Cartï¿½,847,United States,US,Education,450,15.0,5.0,266747000.0,66700.0,1100000.0,800200.0,12800000.0,600000.0,2013,Oct,25,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
45,JuegaGerman,48100000,14631710289.0,Gaming,JuegaGerman,2052,Chile,CL,Games,237,1.0,2.0,66388000.0,16600.0,265600.0,199200.0,3200000.0,200000.0,2013,May,19,88.5,18952038.0,7.09,16610135.0,-35.675147,-71.542969
46,Billie Eilish,47900000,13626331061.0,Music,Billie Eilish,65,United States,US,Music,263,16.0,21.0,146862000.0,36700.0,587400.0,440600.0,7000000.0,200000.0,2013,Feb,6,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
47,Get Movies,47500000,30788679536.0,Entertainment,Get Movies,3322,Russia,RU,Film,35,1.0,4.0,306540000.0,76600.0,1200000.0,919600.0,14700000.0,700000.0,2006,Dec,16,81.9,144373535.0,4.59,107683889.0,61.52401,105.318756
48,Shemaroo,47400000,22519705183.0,Entertainment,Shemaroo,11451,India,IN,Entertainment,97,17.0,10.0,232744000.0,58200.0,931000.0,698200.0,11200000.0,500000.0,2007,Sep,1,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
49,Badabun,46800000,19398045702.0,Entertainment,badabun,1,United States,US,Music,4047729,9.0,5525.0,440.0,0.11,2.0,1.0,21.0,75.0,2007,Jul,21,60.0,328239523.0,5.36,270663028.0,23.885942,-51.92528
50,SonyMusicIndiaVEVO,46600000,27286058807.0,Music,SonyMusicIndiaVEVO,3444,United States,US,Music,55,17.0,22.0,314505000.0,78600.0,1300000.0,943500.0,15100000.0,400000.0,2009,Sep,2,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
51,A4,46300000,22936630813.0,Gaming,aefour,1,Cuba,CU,People,4053056,99.0,5359.0,94.0,0.02,0.38,0.28,5.0,10.0,2006,Mar,11,41.4,11333483.0,1.64,8739135.0,21.521757,-77.781167
52,Bad Bunny,46100000,30686342319.0,Music,badbunny,1,United States,US,Sports,4046070,9.0,4501.0,1.0,0.0,0.0,0.0,0.05,400000.0,2005,Nov,15,60.0,328239523.0,5.36,270663028.0,23.885942,-51.92528
53,Fernanfloo,46100000,10323391593.0,Gaming,Fernanfloo,543,El Salvador,SV,Games,419,1.0,3.0,33842000.0,8500.0,135400.0,101500.0,1600000.0,200000.0,2011,May,2,29.4,6453553.0,4.11,4694702.0,13.794185,-88.89653
54,Voot Kids,45500000,21388725229.0,Entertainment,Voot Kids,4660,India,IN,Entertainment,105,18.0,13.0,233988000.0,58500.0,936000.0,702000.0,11200000.0,400000.0,2016,Nov,23,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
55,Felipe Neto,45200000,16602198273.0,Entertainment,Felipe Neto,4331,Brazil,BR,Entertainment,174,2.0,14.0,130359000.0,32600.0,521400.0,391100.0,6300000.0,200000.0,2006,May,16,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
56,Vocï¿½ï¿½ï¿½,44700000,7828610828.0,Entertainment,Vocï¿½ï¿½ï¿½,1558,Brazil,BR,Entertainment,681,3.0,15.0,48032000.0,12000.0,192100.0,144100.0,2300000.0,100000.0,2013,Sep,1,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
57,HAR PAL GEO,44600000,41139050371.0,Entertainment,HAR PAL GEO,100755,Pakistan,PK,Entertainment,20,1.0,15.0,1337000000.0,334300.0,5300000.0,4000000.0,64200000.0,1300000.0,2008,Jan,2,9.0,216565318.0,4.45,79927762.0,30.375321,69.345116
58,BRIGHT SIDE,44500000,10708531817.0,Howto & Style,brightside,0,United States,US,Music,4057944,9.0,13.5,192823000.0,0.0,0.0,0.0,0.0,1.0,2005,Nov,18,60.0,328239523.0,5.36,270663028.0,23.885942,-51.92528
59,Katy Perry,44200000,25458952022.0,Music,Katy Perry,128,United States,US,Music,70,19.0,24.0,134242000.0,33600.0,537000.0,402700.0,6400000.0,100000.0,2008,Jun,1,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
60,whinderssonnunes,44200000,4274709210.0,Comedy,whinderssonnunes,558,Brazil,BR,Comedy,1741,4.0,1.0,26683000.0,6700.0,106700.0,80100.0,1300000.0,400000.0,2013,Jan,21,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
61,ABS-CBN Entertainment,44200000,50292540392.0,People & Blogs,ABS-CBN Entertainment,193890,Philippines,PH,Entertainment,16,1.0,16.0,176629000.0,44200.0,706500.0,529900.0,8500000.0,300000.0,2008,Jul,16,35.5,108116615.0,2.15,50975903.0,12.879721,121.774017
62,Alan Walker,43700000,12884264778.0,Music,alanwalker,8,Thailand,TH,Film,4056116,4026.0,5270.0,22.0,0.01,0.09,0.07,1.0,400000.0,2006,May,12,49.3,69625582.0,0.75,35294600.0,15.870032,100.992541
63,HolaSoyGerman.,43600000,4831311245.0,Entertainment,holasoygerman. 2,6,United States,US,People,4047806,9.0,7716.0,4.0,0.0,0.02,0.01,0.19,400000.0,2016,May,27,60.0,328239523.0,5.36,270663028.0,23.885942,-51.92528
64,Shakira,43500000,27568757295.0,People & Blogs,Shakira,326,Colombia,CO,Howto,52,1.0,3.0,353412000.0,88400.0,1400000.0,1100000.0,17000000.0,500000.0,2005,Oct,16,55.3,50339443.0,9.71,40827302.0,4.570868,-74.297333
65,ýýýýýýýý ýý ýýýýýýýýýýýýýý,43200000,36458726976.0,Film & Animation,ýýýýýýýý ýý ýýýýýýýýýýýýýý,1478,Russia,RU,Education,26,2.0,6.0,303780000.0,75900.0,1200000.0,911300.0,14600000.0,300000.0,2011,May,31,81.9,144373535.0,4.59,107683889.0,61.52401,105.318756
66,ARY Digital HD,43200000,37939780685.0,Entertainment,ARY Digital HD,109871,Pakistan,PK,Entertainment,24,2.0,18.0,1149000000.0,287300.0,4600000.0,3400000.0,55200000.0,900000.0,2016,Jul,11,9.0,216565318.0,4.45,79927762.0,30.375321,69.345116
67,Speed Records,42500000,26820902622.0,Music,Speed Records,10938,India,IN,Music,62,19.0,26.0,159757000.0,39900.0,639000.0,479300.0,7700000.0,100000.0,2012,Nov,22,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
68,Masha and The Bear,42400000,24519022988.0,Shows,Masha and The Bear,1218,United States,US,Film,74,20.0,5.0,670459000.0,167600.0,2700000.0,2000000.0,32200000.0,1000000.0,2014,Sep,17,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
69,Like Nastya Show,42400000,19547696190.0,Entertainment,Like Nastya Show,618,United States,US,Entertainment,128,21.0,19.0,53202000.0,13300.0,212800.0,159600.0,2600000.0,400000.0,2017,Nov,14,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
70,Rihanna,41900000,22477745835.0,Entertainment,Rihanna,84,Barbados,BB,Music,98,1.0,27.0,182926000.0,45700.0,731700.0,548800.0,8800000.0,100000.0,2005,Nov,6,65.4,287025.0,10.33,89431.0,13.193887,-59.543198
71,Ishtar Music,41400000,17608931161.0,Trailers,Ishtar Music,4510,India,IN,Music,155,20.0,28.0,180942000.0,45200.0,723800.0,542800.0,8700000.0,400000.0,2005,Sep,22,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
72,Kimberly Loaiza,41300000,5603111948.0,People & Blogs,Kimberly Loaiza,291,Mexico,MX,People,1157,2.0,1.0,136745000.0,34200.0,547000.0,410200.0,6600000.0,400000.0,2016,Nov,16,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
73,Little Baby Bum - Nursery Rhymes & Kids Songs,40900000,39450824833.0,Education,Little Baby Bum - Nursery Rhymes & Kids Songs,2423,United States,US,Education,22,22.0,7.0,98775000.0,24700.0,395100.0,296300.0,4700000.0,100000.0,2011,Jun,22,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
74,Luisito Comunica,40600000,8670473639.0,Comedy,Luis Arturo Villar Sudek,0,Mexico,MX,Comedy,3612215,3021.0,13.5,192823000.0,0.0,0.0,0.0,0.0,400000.0,2010,Jun,18,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
75,elrubiusOMG,40400000,7410536668.0,Gaming,elrubiusOMG,703,United States,US,Entertainment,756,9.0,21.0,5773000.0,1400.0,23100.0,17300.0,277100.0,400000.0,2011,Dec,20,60.0,328239523.0,5.36,270663028.0,23.885942,-51.92528
76,Toys and Colors,40300000,47005053156.0,Entertainment,Toys and colors,4,United States,US,People,3989650,9.0,7330.0,5.0,0.0,0.02,0.02,0.24,400000.0,2018,Jun,14,60.0,328239523.0,5.36,270663028.0,23.885942,-51.92528
77,shfa2 - ï¿½ï¿½,39700000,23884824160.0,People & Blogs,shfa2 - ï¿½ï¿½,1596,United Arab Emirates,AE,People,81,1.0,2.0,247731000.0,61900.0,990900.0,743200.0,11900000.0,300000.0,2017,Nov,6,36.8,9770529.0,2.35,8479744.0,23.424076,53.847818
78,LUCCAS NETO - LUCCAS TOON,39400000,22302547082.0,People & Blogs,LUCCAS NETO- LUCCAS TOON,1,United States,US,Games,4057895,9.0,7498.0,2.0,0.0,0.01,0.01,0.1,400000.0,2021,Mar,25,60.0,328239523.0,5.36,270663028.0,23.885942,-51.92528
79,CarryMinati,39200000,3294013141.0,Comedy,CarryMinati,186,India,IN,Comedy,2487,21.0,2.0,78688000.0,19700.0,314800.0,236100.0,3800000.0,700000.0,2014,Oct,30,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
80,XXXTENTACION,39200000,10507474316.0,Music,XXXTENTACION,133,United States,US,Music,403,24.0,29.0,58362000.0,14600.0,233400.0,175100.0,2800000.0,100000.0,2015,Jun,23,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
81,Super Simple Songs - Kids Songs,39200000,44900897958.0,Education,Super Simple Songs - Kids Songs,744,Canada,CA,Education,19,2.0,8.0,560756000.0,140200.0,2200000.0,1700000.0,26900000.0,400000.0,2006,Sep,8,68.9,36991981.0,5.56,30628482.0,56.130366,-106.346771
82,Mikecrack,39100000,16118181673.0,Gaming,Mikecrack,1876,Spain,ES,Games,188,1.0,4.0,264108000.0,66000.0,1100000.0,792300.0,12700000.0,800000.0,2015,Jul,13,88.9,47076781.0,13.96,37927409.0,40.463667,-3.74922
83,WorkpointOfficial,39000000,36131228583.0,Entertainment,WorkpointOfficial,72580,Thailand,TH,Entertainment,27,1.0,24.0,130461000.0,32600.0,521800.0,391400.0,6300000.0,200000.0,2012,Nov,5,49.3,69625582.0,0.75,35294600.0,15.870032,100.992541
84,GR6 EXPLODE,38900000,25154232306.0,Music,GR6 EXPLODE,3043,Brazil,BR,Music,73,6.0,30.0,1635000000.0,408700.0,6500000.0,4900000.0,78500000.0,100000.0,2014,Aug,5,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
85,TEDx Talks,38600000,7339333120.0,Nonprofits & Activism,TEDx Talks,200933,United States,US,Nonprofit,768,25.0,1.0,45638000.0,11400.0,182600.0,136900.0,2200000.0,100000.0,2009,Jun,23,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
86,shfa,38400000,21528116909.0,People & Blogs,ýýýýýýýýýý ýýýýýý,982,Saudi Arabia,SA,Games,150882,774.0,1454.0,1589000.0,397.0,6400.0,4800.0,76300.0,2000.0,2018,May,24,68.0,34268528.0,5.93,28807838.0,23.885942,45.079162
87,Goldmines Gaane Sune Ansune,38300000,16718192386.0,Music,Goldmines Gaane Sune Ansune,3532,India,IN,Music,170,22.0,31.0,814756000.0,203700.0,3300000.0,2400000.0,39100000.0,400000.0,2015,Aug,24,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
88,One Direction,38200000,13598903820.0,Music,21 Savage,11,United States,US,Music,539848,2904.0,2594.0,6348.0,2.0,25.0,19.0,305.0,100.0,2016,Jun,26,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
89,TheEllenShow,38200000,22756581750.0,Entertainment,TheEllenShow,15672,United States,US,Entertainment,93,26.0,26.0,21804000.0,5500.0,87200.0,65400.0,1000000.0,400000.0,2006,Nov,21,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
90,Sony PAL,38200000,28519339489.0,Shows,Sony PAL,24089,India,IN,Entertainment,49,23.0,25.0,415914000.0,104000.0,1700000.0,1200000.0,20000000.0,500000.0,2014,May,9,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
91,Daddy Yankee,38000000,22731415608.0,Music,Daddy Yankee,505,United States,US,Music,92,27.0,33.0,205594000.0,51400.0,822400.0,616800.0,9900000.0,100000.0,2011,May,16,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
92,Vlad vï¿½ï¿½ï,37900000,23510152352.0,Music,Vlad vï¿½ï¿½ï,515,United States,US,Entertainment,84,28.0,27.0,244093000.0,61000.0,976400.0,732300.0,11700000.0,200000.0,2018,Jul,20,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
93,Like Nastya ESP,37600000,18208196857.0,Entertainment,Like Nastya ESP,743,United States,US,Entertainment,145,29.0,28.0,321026000.0,80300.0,1300000.0,963100.0,15400000.0,700000.0,2017,Apr,22,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
94,ýýýýýýýýýýýý one31,37500000,27262462114.0,Entertainment,ýýýýýýýýýýýý one31,117152,Thailand,TH,Entertainment,56,2.0,29.0,140754000.0,35200.0,563000.0,422300.0,6800000.0,300000.0,2013,Jan,10,49.3,69625582.0,0.75,35294600.0,15.870032,100.992541
95,Jkk Entertainment,37200000,16402066717.0,Comedy,Jkk Entertainment,220,India,IN,Comedy,178,24.0,3.0,49861000.0,12500.0,199400.0,149600.0,2400000.0,100000.0,2017,Mar,20,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
96,ABP NEWS,37000000,13102611515.0,People & Blogs,ABP NEWS,301308,India,IN,News,280,25.0,2.0,267060000.0,66800.0,1100000.0,801200.0,12800000.0,400000.0,2012,Jun,1,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
97,Maria Clara & JP,37000000,24188861917.0,People & Blogs,Maria Clara & JP,744,Brazil,BR,Entertainment,75,7.0,30.0,251449000.0,62900.0,1000000.0,754300.0,12100000.0,300000.0,2015,Sep,6,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
98,Bruno Mars,36700000,19378155425.0,Music,Bruno Mars,99,United States,US,Music,134,30.0,34.0,175243000.0,43800.0,701000.0,525700.0,8400000.0,200000.0,2006,Sep,19,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
99,Maroon 5,36600000,22553923546.0,Music,Maroon 5,171,United States,US,Music,96,31.0,35.0,152825000.0,38200.0,611300.0,458500.0,7300000.0,400000.0,2006,Mar,9,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
100,Ultra Bollywood,36600000,15653786446.0,Trailers,Ultra Bollywood,9168,India,IN,Entertainment,205,26.0,31.0,131462000.0,0.0,0.0,0.0,0.0,200000.0,2009,Oct,21,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
